Member_number,Date,itemDescription,Frequency,Frequency_per_date,Item_Sold
3678,2014-01-23,curd,6,2,1
2076,2014-09-06,hygiene articles,8,2,1
2175,2014-12-26,chicken,13,2,1
4582,2014-04-23,bottled beer,9,2,1
1852,2014-09-08,cake bar,10,2,1
2148,2014-01-25,soda,10,2,2
3898,2014-08-25,beef,9,2,2
4009,2014-02-19,frozen vegetables,11,2,2
1527,2014-04-15,spices,14,2,1
4269,2014-12-30,finished products,10,2,1
1998,2014-06-14,citrus fruit,27,2,1
1230,2014-12-17,soda,14,2,5
2142,2014-10-25,tropical fruit,19,2,1
2897,2014-11-07,mustard,6,2,1
3288,2014-04-20,bottled water,6,2,1
2155,2014-06-03,pip fruit,8,2,3
2049,2014-09-02,ham,9,2,1
4663,2014-04-18,canned beer,6,2,2
3521,2014-10-10,yogurt,8,2,2
4407,2014-06-06,misc. beverages,6,2,2
3526,2014-05-18,domestic eggs,10,2,3
3005,2014-04-18,specialty chocolate,11,2,1
3083,2014-03-29,tropical fruit,10,2,2
4046,2014-12-29,root vegetables,9,2,2
2332,2014-07-18,seasonal products,13,2,2
4376,2014-08-01,pork,26,2,1
2578,2014-01-30,frozen fish,18,2,1
4089,2014-03-15,ice cream,6,2,1
4674,2014-02-18,seasonal products,6,2,1
3639,2014-01-05,sweet spreads,9,2,1
4160,2014-09-05,chocolate,13,2,1
2766,2014-12-01,pork,7,2,1
1754,2014-06-07,pastry,14,2,3
3550,2014-12-06,salty snack,8,2,2
1736,2014-09-30,whole milk,12,2,5
1315,2014-12-11,tropical fruit,6,2,2
3633,2014-10-12,soda,16,2,1
3425,2014-12-15,tropical fruit,6,2,2
2697,2014-07-07,coffee,4,2,2
3659,2014-11-12,pork,8,2,1
1466,2014-05-16,chocolate,23,2,1
4440,2014-02-12,other vegetables,12,2,4
1280,2014-04-17,spices,8,2,1
4375,2014-10-30,female sanitary products,12,2,1
3208,2014-12-10,root vegetables,14,2,3
4305,2014-09-02,tropical fruit,15,2,1
2525,2014-03-04,turkey,11,2,1
1498,2014-08-23,long life bakery product,8,2,1
4108,2014-08-27,specialty chocolate,14,2,1
3249,2014-04-02,dessert,4,2,2
2131,2014-07-11,yogurt,12,2,3
4886,2014-08-21,dessert,10,2,1
1023,2014-05-22,male cosmetics,17,2,1
2875,2014-04-30,brown bread,7,2,1
3407,2014-12-16,coffee,9,2,1
1632,2014-05-29,root vegetables,14,2,3
2668,2014-12-01,whole milk,2,2,4
3745,2014-05-25,specialty cheese,13,2,1
1712,2014-04-12,cream cheese ,5,2,3
4009,2014-12-21,butter,11,2,1
4522,2014-10-04,canned beer,8,2,1
4852,2014-01-24,condensed milk,20,2,1
3862,2014-12-26,bottled water,21,2,5
3538,2014-11-28,yogurt,6,2,1
3821,2014-12-14,tropical fruit,17,2,3
1889,2014-06-20,ketchup,18,2,1
3963,2014-06-01,candy,14,2,1
1478,2014-07-07,chicken,8,2,1
2788,2014-04-17,dessert,9,2,3
3822,2014-12-23,yogurt,19,2,4
1728,2014-10-18,root vegetables,7,2,1
3016,2014-05-23,other vegetables,7,2,1
2018,2014-04-13,frozen potato products,13,2,1
3139,2014-01-23,citrus fruit,16,2,2
2823,2014-08-07,pastry,5,2,1
1820,2014-01-23,root vegetables,10,2,3
1596,2014-09-10,pot plants,10,2,1
3333,2014-05-12,yogurt,4,2,2
2408,2014-08-02,beverages,21,2,1
1303,2014-09-27,pip fruit,14,2,3
2835,2014-08-11,root vegetables,19,2,2
1921,2014-08-17,tropical fruit,14,2,1
3313,2014-11-23,whole milk,6,2,4
2772,2014-04-04,pet care,16,2,1
1929,2014-02-03,pasta,21,2,1
3066,2014-10-17,fruit/vegetable juice,12,2,1
4176,2014-09-25,whole milk,7,2,5
1544,2014-03-18,tropical fruit,9,2,1
3479,2014-06-07,turkey,8,2,1
2321,2014-02-06,pip fruit,13,2,1
2076,2014-01-14,softener,8,2,1
3761,2014-12-25,whole milk,21,2,3
2229,2014-10-07,pip fruit,22,2,1
3612,2014-03-12,margarine,14,2,2
4842,2014-03-25,yogurt,12,2,3
2725,2014-01-05,whole milk,4,2,5
1917,2014-01-26,sausage,11,2,2
2276,2014-11-29,tropical fruit,7,2,4
3964,2014-01-30,root vegetables,5,2,1
4469,2014-09-13,pork,7,2,2
1307,2014-08-29,whole milk,12,2,4
3343,2014-02-11,berries,10,2,1
1903,2014-08-15,whole milk,10,2,4
3354,2014-12-11,berries,15,2,2
2580,2014-04-03,whipped/sour cream,12,2,2
2685,2014-02-11,citrus fruit,12,2,3
1761,2014-10-18,whole milk,18,2,3
3475,2014-09-01,whole milk,10,2,2
2758,2014-12-07,rolls/buns,20,2,5
1450,2014-12-08,specialty bar,16,2,1
2832,2014-07-07,whole milk,11,2,7
2709,2014-05-18,other vegetables,11,2,4
1820,2014-01-11,citrus fruit,10,2,2
2186,2014-06-19,bottled water,20,2,4
2341,2014-03-23,roll products ,10,2,1
3386,2014-05-10,root vegetables,8,2,1
2160,2014-11-07,whole milk,12,2,5
2754,2014-11-20,soda,10,2,4
3280,2014-06-07,beef,6,2,1
2578,2014-11-07,other vegetables,18,2,6
1822,2014-03-04,onions,13,2,2
3644,2014-04-16,yogurt,7,2,4
4144,2014-01-08,whole milk,8,2,4
4464,2014-01-23,rolls/buns,17,2,4
1530,2014-10-11,long life bakery product,5,2,2
2730,2014-03-17,rolls/buns,11,2,3
4983,2014-07-14,other vegetables,6,2,4
2847,2014-06-13,ham,13,2,1
4941,2014-08-13,meat,26,2,2
3842,2014-03-03,frozen vegetables,9,2,2
3005,2014-07-26,beverages,11,2,1
2218,2014-12-25,whole milk,13,2,3
1797,2014-11-14,root vegetables,11,2,3
1870,2014-06-17,citrus fruit,25,2,1
2107,2014-02-24,other vegetables,19,2,4
1211,2014-11-09,butter,16,2,1
3397,2014-10-07,bottled beer,6,2,1
4260,2014-01-01,soda,12,2,2
4416,2014-07-30,brown bread,16,2,1
4094,2014-01-22,onions,10,2,1
2813,2014-12-20,other vegetables,16,2,1
2001,2014-11-14,beef,20,2,2
3631,2014-09-12,root vegetables,2,2,2
4922,2014-04-21,bottled water,10,2,1
1102,2014-02-14,root vegetables,10,2,2
4274,2014-02-24,beef,12,2,1
1022,2014-03-25,whole milk,6,2,7
4433,2014-02-16,whole milk,17,2,4
4567,2014-05-31,bottled water,12,2,2
3793,2014-05-26,whole milk,18,2,5
4448,2014-06-11,citrus fruit,12,2,1
3491,2014-06-19,tropical fruit,14,2,2
1684,2014-02-17,white wine,8,2,1
3250,2014-10-19,soda,5,2,3
3306,2014-02-05,root vegetables,16,2,2
3923,2014-12-19,root vegetables,8,2,6
1099,2014-07-18,pip fruit,6,2,1
1005,2014-01-09,rolls/buns,4,2,5
2593,2014-04-13,newspapers,6,2,3
1657,2014-03-04,frozen potato products,6,2,1
4059,2014-06-13,UHT-milk,9,2,1
2094,2014-03-02,whole milk,6,2,6
1124,2014-08-23,yogurt,4,2,4
2967,2014-01-23,canned beer,6,2,1
4685,2014-07-16,hamburger meat,15,2,1
3254,2014-03-02,whole milk,10,2,6
2151,2014-08-15,berries,11,2,1
2950,2014-10-17,whole milk,15,2,4
2497,2014-08-06,sausage,2,2,1
3034,2014-12-14,beef,10,2,1
1269,2014-04-14,rolls/buns,14,2,5
3127,2014-12-03,whipped/sour cream,10,2,4
3614,2014-01-06,other vegetables,10,2,3
1233,2014-08-28,other vegetables,19,2,6
3063,2014-12-13,canned beer,10,2,1
3410,2014-02-22,packaged fruit/vegetables,14,2,1
2070,2014-12-20,pot plants,24,2,1
1975,2014-01-09,rolls/buns,4,2,5
3912,2014-12-08,yogurt,7,2,4
1544,2014-04-24,root vegetables,9,2,2
1508,2014-09-28,rolls/buns,8,2,7
3342,2014-09-06,specialty fat,8,2,1
2964,2014-09-22,tropical fruit,12,2,1
1752,2014-11-23,newspapers,10,2,1
4908,2014-05-08,tropical fruit,7,2,2
2559,2014-07-31,pork,6,2,1
3926,2014-02-10,onions,18,2,1
2975,2014-03-27,root vegetables,13,2,3
3443,2014-09-26,sausage,8,2,1
4712,2014-09-07,pip fruit,10,2,1
2041,2014-05-09,margarine,15,2,1
4718,2014-03-08,citrus fruit,13,2,2
3584,2014-11-18,hamburger meat,14,2,1
4691,2014-05-08,whole milk,8,2,5
4226,2014-09-08,butter,9,2,3
3221,2014-01-30,salty snack,23,2,1
3874,2014-07-19,bottled beer,2,2,4
1866,2014-02-09,roll products ,18,2,1
3139,2014-06-26,other vegetables,16,2,4
4131,2014-07-02,onions,11,2,1
2961,2014-07-31,onions,20,2,1
3651,2014-09-09,spread cheese,21,2,1
4137,2014-06-25,hamburger meat,26,2,2
4997,2014-01-05,whole milk,6,2,5
3348,2014-03-30,other vegetables,14,2,2
4700,2014-10-19,other vegetables,16,2,1
3190,2014-08-26,butter milk,12,2,1
4772,2014-06-02,whole milk,10,2,2
2070,2014-03-29,pip fruit,24,2,2
2512,2014-12-19,other vegetables,26,2,2
3783,2014-11-07,other vegetables,23,2,6
3681,2014-06-09,margarine,10,2,1
1620,2014-02-27,bottled water,11,2,2
1580,2014-05-19,citrus fruit,16,2,1
4268,2014-07-12,cream cheese ,12,2,2
1770,2014-07-01,butter,10,2,1
1077,2014-07-17,pastry,14,2,3
2310,2014-04-22,whole milk,16,2,2
1879,2014-11-08,yogurt,8,2,3
2293,2014-07-30,cereals,19,2,1
3324,2014-05-07,ice cream,11,2,1
2149,2014-08-16,hamburger meat,9,2,3
4380,2014-08-12,liquor,11,2,1
3268,2014-01-23,citrus fruit,16,2,2
2562,2014-07-13,other vegetables,10,2,2
4092,2014-06-19,berries,10,2,1
1486,2014-12-02,soda,17,2,2
2538,2014-10-15,whipped/sour cream,7,2,2
1254,2014-03-03,ham,5,2,1
2716,2014-06-09,curd,16,2,1
4101,2014-11-27,rolls/buns,8,2,3
4259,2014-12-20,domestic eggs,12,2,2
2252,2014-08-08,bottled beer,21,2,1
4705,2014-02-18,hard cheese,10,2,2
3882,2014-08-15,dessert,12,2,1
1919,2014-12-06,soft cheese,4,2,1
3915,2014-08-09,ham,31,2,1
1115,2014-07-31,turkey,8,2,1
1260,2014-10-04,pip fruit,4,2,1
3107,2014-12-13,meat,14,2,2
4196,2014-02-03,flower (seeds),10,2,2
3303,2014-01-10,dessert,8,2,1
1575,2014-09-20,misc. beverages,10,2,1
3390,2014-12-02,whole milk,11,2,8
3487,2014-05-22,whipped/sour cream,12,2,4
4373,2014-05-16,nut snack,7,2,2
3348,2014-10-29,newspapers,14,2,1
2030,2014-01-29,soap,7,2,1
2836,2014-10-04,whole milk,12,2,5
3364,2014-07-14,chocolate,12,2,2
3366,2014-05-28,chewing gum,4,2,1
3929,2014-01-10,semi-finished bread,9,2,1
1017,2014-02-21,other vegetables,11,2,2
1456,2014-08-12,packaged fruit/vegetables,18,2,1
3344,2014-01-21,canned beer,12,2,1
4649,2014-01-06,other vegetables,11,2,3
4566,2014-10-31,misc. beverages,13,2,2
1922,2014-01-07,yogurt,19,2,2
3090,2014-03-19,processed cheese,22,2,1
3383,2014-11-13,other vegetables,6,2,4
3284,2014-01-27,dishes,16,2,1
3905,2014-02-03,ice cream,16,2,1
3768,2014-07-31,beef,16,2,1
3464,2014-06-30,margarine,4,2,2
2742,2014-07-07,other vegetables,9,2,3
2019,2014-06-10,citrus fruit,18,2,2
3131,2014-12-03,yogurt,4,2,2
3502,2014-06-15,UHT-milk,11,2,1
3077,2014-04-01,root vegetables,17,2,2
1298,2014-07-26,pastry,7,2,4
2740,2014-06-16,meat,4,2,1
2933,2014-08-01,soda,8,2,2
4650,2014-07-12,rolls/buns,11,2,3
3622,2014-09-28,pip fruit,10,2,1
4526,2014-12-17,soda,20,2,5
4467,2014-12-11,meat,11,2,1
1302,2014-11-22,root vegetables,10,2,2
2322,2014-02-15,pip fruit,4,2,1
2212,2014-06-08,butter,12,2,5
1905,2014-01-31,seasonal products,26,2,1
3413,2014-10-27,beverages,10,2,2
3437,2014-11-07,beef,14,2,2
2758,2014-05-26,UHT-milk,20,2,1
3942,2014-04-18,soda,23,2,3
2479,2014-03-09,canned beer,10,2,1
4773,2014-12-16,curd,18,2,3
4480,2014-06-12,misc. beverages,5,2,3
2562,2014-05-17,oil,10,2,1
2069,2014-11-12,canned fish,10,2,1
4646,2014-12-11,candy,12,2,1
4960,2014-10-28,hamburger meat,9,2,2
2278,2014-03-15,whipped/sour cream,6,2,1
1154,2014-05-15,female sanitary products,9,2,1
4536,2014-05-11,citrus fruit,11,2,2
2982,2014-10-22,tropical fruit,12,2,2
3098,2014-05-29,citrus fruit,4,2,1
1523,2014-03-20,bottled beer,10,2,1
1796,2014-11-15,whole milk,14,2,5
2086,2014-12-02,bottled water,20,2,1
1770,2014-05-15,specialty bar,10,2,1
2801,2014-06-17,whole milk,8,2,1
3848,2014-01-16,root vegetables,14,2,1
1682,2014-01-18,other vegetables,20,2,7
1793,2014-09-30,pip fruit,25,2,3
4831,2014-07-29,misc. beverages,28,2,1
3451,2014-06-08,semi-finished bread,8,2,1
1791,2014-10-02,pastry,8,2,3
1352,2014-03-03,tropical fruit,2,2,2
3003,2014-04-22,seasonal products,6,2,1
2067,2014-07-03,canned beer,9,2,2
2042,2014-12-19,curd,14,2,3
2303,2014-07-30,packaged fruit/vegetables,6,2,1
1768,2014-07-22,flower soil/fertilizer,20,2,1
2139,2014-03-02,other vegetables,12,2,4
1917,2014-10-09,pastry,11,2,1
1418,2014-06-21,soda,7,2,4
2134,2014-01-17,soda,7,2,3
3354,2014-05-14,sparkling wine,15,2,1
4109,2014-12-05,frozen vegetables,13,2,1
1377,2014-12-11,yogurt,11,2,2
4360,2014-09-27,chocolate,6,2,2
2590,2014-08-27,tropical fruit,10,2,1
2358,2014-08-08,UHT-milk,9,2,1
2191,2014-10-22,dessert,10,2,2
2719,2014-12-18,grapes,14,2,1
1908,2014-10-29,oil,20,2,1
1410,2014-02-11,bottled water,27,2,2
2815,2014-08-05,waffles,8,2,2
3304,2014-11-15,bottled beer,10,2,1
1608,2014-01-14,fruit/vegetable juice,18,2,3
1427,2014-02-04,whole milk,16,2,7
1709,2014-08-22,white bread,4,2,1
1342,2014-08-20,dessert,13,2,2
3593,2014-03-11,softener,23,2,1
1057,2014-06-08,tropical fruit,8,2,2
2288,2014-10-16,other vegetables,12,2,4
1922,2014-11-07,pastry,19,2,3
3166,2014-06-22,bottled water,14,2,3
3733,2014-05-23,white bread,4,2,1
1837,2014-02-27,pip fruit,12,2,2
2619,2014-12-24,other vegetables,7,2,7
1657,2014-04-29,frozen meals,6,2,2
3919,2014-02-08,canned beer,10,2,1
2354,2014-08-20,soda,6,2,5
4018,2014-11-23,soda,17,2,4
4968,2014-11-05,margarine,7,2,1
1050,2014-02-15,waffles,14,2,1
1540,2014-11-27,yogurt,12,2,3
1101,2014-12-25,brown bread,7,2,4
4354,2014-07-30,soda,4,2,3
2038,2014-07-23,pip fruit,10,2,2
2853,2014-10-26,other vegetables,5,2,3
4830,2014-01-04,soda,8,2,2
4434,2014-11-29,tropical fruit,15,2,4
2400,2014-03-08,napkins,12,2,1
3918,2014-03-20,brown bread,13,2,2
1062,2014-01-26,whole milk,16,2,2
1866,2014-08-14,butter,18,2,2
3389,2014-07-20,ice cream,13,2,1
3082,2014-05-21,whole milk,26,2,4
4363,2014-05-30,hygiene articles,6,2,1
1941,2014-01-29,whole milk,5,2,3
3932,2014-05-07,coffee,2,2,2
3787,2014-03-02,pip fruit,9,2,2
2196,2014-06-28,beef,14,2,2
1587,2014-09-01,hygiene articles,13,2,1
4066,2014-11-01,fruit/vegetable juice,8,2,2
2733,2014-05-05,whole milk,6,2,3
4656,2014-06-19,condensed milk,21,2,1
3107,2014-12-12,citrus fruit,14,2,1
1171,2014-03-01,soda,10,2,5
3321,2014-04-19,frozen fish,14,2,2
3908,2014-04-27,flour,4,2,2
2916,2014-12-06,pickled vegetables,15,2,1
2334,2014-02-03,yogurt,5,2,4
1736,2014-09-10,tropical fruit,12,2,1
2663,2014-05-13,bottled water,27,2,2
2689,2014-08-27,canned fish,15,2,1
1174,2014-12-29,root vegetables,11,2,2
3194,2014-10-22,pickled vegetables,14,2,1
1661,2014-08-29,tropical fruit,17,2,1
4956,2014-11-20,yogurt,8,2,3
3668,2014-08-11,citrus fruit,13,2,1
3816,2014-10-24,rolls/buns,9,2,2
3077,2014-05-15,pastry,17,2,4
2542,2014-01-01,sliced cheese,8,2,1
1245,2014-07-12,onions,20,2,1
3571,2014-02-03,dish cleaner,14,2,1
1427,2014-02-12,candy,16,2,2
3050,2014-11-11,butter,33,2,1
2550,2014-02-27,butter,16,2,1
3524,2014-09-05,hygiene articles,12,2,1
4626,2014-07-02,root vegetables,7,2,3
2178,2014-04-14,chicken,11,2,1
1526,2014-07-21,yogurt,11,2,10
3075,2014-02-09,coffee,6,2,1
1381,2014-01-01,curd,15,2,1
2361,2014-01-04,light bulbs,10,2,1
3507,2014-08-09,root vegetables,18,2,4
1225,2014-03-03,whole milk,21,2,5
4745,2014-03-28,soft cheese,17,2,1
4623,2014-06-25,bottled water,14,2,3
2727,2014-05-29,soda,10,2,4
4147,2014-08-25,whole milk,12,2,3
4223,2014-03-20,tropical fruit,17,2,1
2604,2014-04-03,whole milk,14,2,5
2591,2014-12-10,root vegetables,4,2,3
3662,2014-02-16,white wine,8,2,1
3719,2014-10-03,condensed milk,19,2,1
2535,2014-04-01,sausage,13,2,1
2323,2014-09-06,sliced cheese,6,2,2
2003,2014-11-30,liquor,6,2,1
4646,2014-03-30,whole milk,12,2,4
3277,2014-10-31,whole milk,7,2,2
1910,2014-05-20,rolls/buns,10,2,3
2521,2014-03-22,root vegetables,10,2,1
4510,2014-10-22,sausage,17,2,1
4451,2014-11-23,cream cheese ,2,2,1
3539,2014-05-09,yogurt,14,2,3
3206,2014-07-07,root vegetables,12,2,2
1748,2014-03-12,soda,19,2,2
4554,2014-07-20,whole milk,9,2,2
4449,2014-09-25,root vegetables,10,2,1
1932,2014-08-02,citrus fruit,20,2,1
4228,2014-06-26,other vegetables,13,2,4
1190,2014-09-10,whipped/sour cream,17,2,1
1814,2014-06-28,hamburger meat,12,2,1
1815,2014-06-27,onions,11,2,1
4637,2014-08-28,herbs,11,2,1
4712,2014-12-14,other vegetables,10,2,2
4539,2014-03-31,white wine,9,2,1
2388,2014-11-19,other vegetables,8,2,2
2131,2014-09-22,grapes,12,2,2
1422,2014-02-26,beef,19,2,1
1304,2014-06-07,hamburger meat,7,2,3
2269,2014-05-26,sliced cheese,6,2,2
4288,2014-06-20,citrus fruit,12,2,1
1061,2014-10-23,beverages,14,2,1
4093,2014-07-08,pip fruit,4,2,1
4937,2014-09-30,liquor,16,2,1
1384,2014-09-28,bottled water,15,2,4
3442,2014-03-02,rolls/buns,13,2,4
1446,2014-09-02,citrus fruit,8,2,4
3901,2014-02-14,rolls/buns,4,2,2
1002,2014-02-09,frozen vegetables,8,2,1
4437,2014-11-04,beef,23,2,3
3905,2014-05-11,other vegetables,16,2,6
2956,2014-10-23,other vegetables,11,2,2
3090,2014-01-23,other vegetables,22,2,4
3305,2014-08-24,whole milk,6,2,3
2893,2014-04-16,grapes,11,2,1
3916,2014-05-22,tropical fruit,6,2,2
1770,2014-04-23,other vegetables,10,2,2
1303,2014-10-28,tropical fruit,14,2,2
2846,2014-10-26,canned fish,6,2,1
4143,2014-01-14,pastry,4,2,2
3166,2014-11-08,dishes,14,2,1
2679,2014-08-31,rolls/buns,6,2,2
3229,2014-11-16,rolls/buns,12,2,4
4720,2014-06-20,tropical fruit,13,2,2
3227,2014-07-21,canned beer,15,2,1
2463,2014-01-14,berries,6,2,1
4079,2014-03-18,root vegetables,6,2,2
4234,2014-06-10,sliced cheese,20,2,2
4487,2014-07-29,oil,19,2,1
2925,2014-08-25,female sanitary products,16,2,1
2638,2014-01-06,root vegetables,5,2,1
3543,2014-09-13,rolls/buns,22,2,2
2763,2014-05-18,rolls/buns,10,2,4
1331,2014-04-06,tropical fruit,9,2,1
4338,2014-10-09,salty snack,28,2,1
3268,2014-11-03,canned fish,16,2,1
3985,2014-06-22,beverages,15,2,1
4659,2014-01-22,white wine,8,2,2
1838,2014-06-19,pip fruit,10,2,1
1652,2014-06-19,beef,12,2,2
3737,2014-01-03,instant coffee,33,2,1
1886,2014-09-13,curd,4,2,2
4784,2014-10-28,butter,5,2,2
4546,2014-10-18,other vegetables,11,2,1
1471,2014-07-31,yogurt,4,2,2
4084,2014-04-19,beef,11,2,1
2040,2014-04-10,newspapers,15,2,2
1797,2014-01-18,other vegetables,11,2,7
3076,2014-02-22,specialty chocolate,4,2,2
4975,2014-02-10,artif. sweetener,13,2,1
3526,2014-07-10,whole milk,10,2,3
4571,2014-08-25,UHT-milk,6,2,1
3476,2014-04-02,ice cream,15,2,1
4398,2014-08-28,onions,10,2,1
3115,2014-09-22,whole milk,16,2,3
2707,2014-03-18,whole milk,17,2,2
1774,2014-09-15,newspapers,12,2,1
2012,2014-08-04,bottled water,4,2,4
4981,2014-02-26,Instant food products,10,2,1
4427,2014-01-09,turkey,12,2,1
3499,2014-12-02,sausage,18,2,2
3020,2014-12-08,other vegetables,8,2,3
2854,2014-07-15,berries,11,2,1
3624,2014-05-12,root vegetables,2,2,3
3909,2014-09-06,red/blush wine,16,2,1
3517,2014-07-20,spread cheese,22,2,2
3499,2014-08-16,red/blush wine,18,2,1
4182,2014-01-17,whole milk,14,2,2
2379,2014-06-01,berries,6,2,1
2074,2014-08-27,other vegetables,11,2,4
2790,2014-03-03,semi-finished bread,8,2,2
4190,2014-12-07,canned beer,21,2,1
4938,2014-09-01,brown bread,16,2,1
4984,2014-06-14,snack products,7,2,1
4589,2014-11-09,tropical fruit,16,2,1
4932,2014-03-21,whole milk,14,2,2
2751,2014-03-11,rolls/buns,12,2,2
4663,2014-03-13,coffee,6,2,2
1460,2014-05-07,waffles,10,2,1
4986,2014-10-06,butter milk,12,2,1
1310,2014-11-22,newspapers,4,2,2
2161,2014-05-04,soda,4,2,2
1526,2014-02-18,domestic eggs,11,2,2
1026,2014-06-18,root vegetables,17,2,3
1041,2014-07-07,prosecco,10,2,1
3065,2014-02-23,yogurt,7,2,6
3846,2014-07-11,pickled vegetables,12,2,1
3672,2014-09-30,whole milk,13,2,5
3971,2014-11-11,bottled beer,15,2,2
1733,2014-07-02,zwieback,17,2,1
4289,2014-09-05,pickled vegetables,9,2,1
3200,2014-09-07,butter,8,2,1
1109,2014-06-19,chocolate,12,2,1
3224,2014-06-10,root vegetables,10,2,3
2851,2014-11-14,tropical fruit,29,2,1
4085,2014-07-30,yogurt,10,2,2
1654,2014-04-06,whole milk,23,2,1
3907,2014-05-09,other vegetables,9,2,5
4338,2014-04-21,dessert,28,2,3
4670,2014-01-28,mustard,7,2,1
3905,2014-06-09,rolls/buns,16,2,4
4443,2014-01-31,other vegetables,7,2,4
4667,2014-09-04,rolls/buns,17,2,2
4504,2014-03-08,onions,14,2,2
1328,2014-06-06,other vegetables,10,2,5
1442,2014-02-28,pip fruit,13,2,1
4269,2014-06-29,butter milk,10,2,1
4722,2014-02-12,hamburger meat,10,2,1
3151,2014-10-13,rolls/buns,6,2,4
4371,2014-06-02,chocolate,9,2,1
2068,2014-08-22,whole milk,12,2,5
4353,2014-09-02,rolls/buns,17,2,6
3851,2014-08-03,other vegetables,8,2,5
4743,2014-05-15,soda,13,2,5
4083,2014-08-15,newspapers,2,2,2
1125,2014-12-09,rolls/buns,11,2,2
2293,2014-05-31,pork,19,2,1
3365,2014-10-17,meat,15,2,1
2341,2014-09-12,Instant food products,10,2,1
3115,2014-05-26,frozen vegetables,16,2,1
4044,2014-06-30,coffee,10,2,2
1609,2014-07-07,pickled vegetables,15,2,2
1413,2014-07-14,ham,7,2,1
1469,2014-08-28,coffee,2,2,2
3546,2014-09-09,bottled beer,8,2,4
1752,2014-04-13,pip fruit,10,2,1
2836,2014-10-20,tropical fruit,12,2,4
1244,2014-09-07,UHT-milk,8,2,2
4183,2014-11-20,root vegetables,17,2,3
1492,2014-11-05,butter,11,2,1
2255,2014-07-17,curd,12,2,1
4525,2014-11-13,whole milk,15,2,2
2726,2014-09-17,house keeping products,8,2,1
1686,2014-05-15,brown bread,7,2,2
3808,2014-03-05,UHT-milk,10,2,3
3905,2014-10-06,soda,16,2,3
4523,2014-09-01,specialty chocolate,12,2,2
1770,2014-09-14,rolls/buns,10,2,1
1609,2014-03-05,whole milk,15,2,1
3678,2014-06-21,yogurt,6,2,5
4341,2014-03-29,rolls/buns,7,2,2
2758,2014-05-18,frozen meals,20,2,2
2867,2014-05-09,other vegetables,15,2,5
3329,2014-08-28,whole milk,13,2,4
2966,2014-11-26,pork,6,2,1
4345,2014-07-16,citrus fruit,6,2,1
2960,2014-10-27,whipped/sour cream,26,2,2
1247,2014-06-08,butter,4,2,5
2770,2014-08-29,soda,5,2,2
2914,2014-10-09,yogurt,9,2,1
3802,2014-06-08,specialty chocolate,4,2,1
2519,2014-04-15,specialty bar,14,2,1
3933,2014-07-12,waffles,4,2,2
4291,2014-05-18,root vegetables,16,2,2
3998,2014-08-11,yogurt,17,2,3
2395,2014-06-04,tropical fruit,5,2,1
1602,2014-12-17,other vegetables,14,2,2
1659,2014-01-01,specialty chocolate,15,2,1
3904,2014-09-24,beef,8,2,1
1493,2014-10-22,liquor,15,2,1
1840,2014-10-07,tropical fruit,5,2,1
4178,2014-10-05,soda,20,2,2
2165,2014-10-27,root vegetables,12,2,4
4618,2014-01-11,brown bread,12,2,1
2093,2014-02-16,whipped/sour cream,16,2,3
2215,2014-03-21,bottled beer,14,2,1
4779,2014-01-29,root vegetables,16,2,1
1939,2014-02-02,rolls/buns,14,2,2
4852,2014-02-11,brown bread,20,2,1
1173,2014-04-18,rolls/buns,9,2,1
4232,2014-06-10,whole milk,12,2,4
1870,2014-07-15,whole milk,25,2,2
2683,2014-04-04,beverages,8,2,1
2837,2014-06-26,frozen dessert,11,2,1
4364,2014-09-24,coffee,22,2,2
1842,2014-11-03,root vegetables,6,2,1
2036,2014-08-27,ice cream,6,2,1
1235,2014-06-14,canned beer,19,2,1
1935,2014-07-17,newspapers,11,2,2
3480,2014-04-18,other vegetables,12,2,4
2881,2014-03-06,domestic eggs,4,2,1
1237,2014-10-16,beverages,20,2,1
1755,2014-01-19,whole milk,4,2,4
4830,2014-12-23,whole milk,8,2,3
2162,2014-05-25,whole milk,10,2,4
1453,2014-11-21,hygiene articles,4,2,1
2139,2014-04-13,margarine,12,2,1
3987,2014-08-31,ham,11,2,1
3027,2014-10-14,fruit/vegetable juice,9,2,1
1241,2014-01-11,whole milk,11,2,5
1018,2014-04-15,beverages,8,2,2
1390,2014-09-04,butter,12,2,1
1646,2014-11-15,beverages,17,2,2
1053,2014-12-10,other vegetables,12,2,2
1566,2014-06-28,other vegetables,21,2,6
4390,2014-11-15,margarine,5,2,1
4779,2014-06-24,specialty chocolate,16,2,1
4294,2014-07-22,rolls/buns,14,2,3
2939,2014-11-02,bottled water,8,2,3
1465,2014-09-26,pastry,17,2,2
1934,2014-06-14,pip fruit,19,2,1
2946,2014-09-14,cream cheese ,18,2,1
3643,2014-09-26,male cosmetics,15,2,1
3722,2014-08-01,syrup,6,2,1
4515,2014-04-16,yogurt,19,2,4
4572,2014-06-27,cat food,18,2,2
4398,2014-08-17,curd,10,2,1
3369,2014-01-24,specialty bar,15,2,1
1738,2014-10-01,yogurt,8,2,4
1283,2014-05-22,pork,17,2,2
1116,2014-09-27,brown bread,24,2,2
4136,2014-03-16,root vegetables,6,2,4
1066,2014-05-15,whole milk,6,2,3
2234,2014-04-13,newspapers,21,2,3
1509,2014-07-09,butter milk,18,2,1
4985,2014-05-31,whole milk,8,2,4
4989,2014-08-11,rolls/buns,10,2,3
